scenario,category,relation,dataset,model,N,M,P,time_before,time_after
si_si2,ChEMBL,Joinable,assays_both_50_1_ac2_ev,albert,12,12,144,196.8,53.32596168220044
si_si2,ChEMBL,Joinable,assays_both_50_1_ac2_ev,bart,12,12,144,165.112,41.88908018012344
si_si2,ChEMBL,Joinable,assays_both_50_1_ac2_ev,bert,12,12,144,165.194,36.38802740895747
si_si2,ChEMBL,Joinable,assays_both_50_1_ac2_ev,distilbert,12,12,144,178.297,38.43121397283673
si_si2,ChEMBL,Joinable,assays_both_50_1_ac2_ev,minilm,12,12,144,40.936,15.122172705143686
si_si2,ChEMBL,Joinable,assays_both_50_1_ac2_ev,roberta,12,12,144,245.117,58.53873584178089
si_si2,ChEMBL,Joinable,assays_both_50_1_ac4_ev,albert,12,12,144,183.679,40.02103074872494
si_si2,ChEMBL,Joinable,assays_both_50_1_ac4_ev,bart,12,12,144,167.987,42.65806236517429
si_si2,ChEMBL,Joinable,assays_both_50_1_ac4_ev,bert,12,12,144,183.594,43.168280060827726
si_si2,ChEMBL,Joinable,assays_both_50_1_ac4_ev,distilbert,12,12,144,180.343,38.77869162674247
si_si2,ChEMBL,Joinable,assays_both_50_1_ac4_ev,minilm,12,12,144,43.423,15.709782832816245
si_si2,ChEMBL,Joinable,assays_both_50_1_ac4_ev,roberta,12,12,144,248.88,60.04759918816387
si_si2,ChEMBL,Joinable,assays_both_50_1_ec_ev,albert,12,12,144,182.272,40.60352158744632
si_si2,ChEMBL,Joinable,assays_both_50_1_ec_ev,bart,12,12,144,191.855,48.837152700424184
si_si2,ChEMBL,Joinable,assays_both_50_1_ec_ev,bert,12,12,144,183.491,40.79089251494409
si_si2,ChEMBL,Joinable,assays_both_50_1_ec_ev,distilbert,12,12,144,183.657,39.77219722081722
si_si2,ChEMBL,Joinable,assays_both_50_1_ec_ev,minilm,12,12,144,41.09,15.201981768161062
si_si2,ChEMBL,Joinable,assays_both_50_1_ec_ev,roberta,12,12,144,241.957,57.638411052122706
si_si2,ChEMBL,Joinable,assays_both_50_30_ac2_ev,albert,12,12,144,246.532,57.55482758615912
si_si2,ChEMBL,Joinable,assays_both_50_30_ac2_ev,bart,12,12,144,239.837,64.09378621977567
si_si2,ChEMBL,Joinable,assays_both_50_30_ac2_ev,bert,12,12,144,246.008,56.94264530631898
si_si2,ChEMBL,Joinable,assays_both_50_30_ac2_ev,distilbert,12,12,144,247.7,54.69516538530584
si_si2,ChEMBL,Joinable,assays_both_50_30_ac2_ev,minilm,12,12,144,59.735,22.969568640589713
si_si2,ChEMBL,Joinable,assays_both_50_30_ac2_ev,roberta,12,12,144,341.899,83.9032189732194
si_si2,ChEMBL,Joinable,assays_both_50_30_ac4_ev,albert,12,12,144,249.83,58.66145110309125
si_si2,ChEMBL,Joinable,assays_both_50_30_ac4_ev,bart,12,12,144,235.512,62.154597783356905
si_si2,ChEMBL,Joinable,assays_both_50_30_ac4_ev,bert,12,12,144,243.582,56.54372335371377
si_si2,ChEMBL,Joinable,assays_both_50_30_ac4_ev,distilbert,12,12,144,259.72,66.24732750214639
si_si2,ChEMBL,Joinable,assays_both_50_30_ac4_ev,minilm,12,12,144,66.305,22.96685042262078
si_si2,ChEMBL,Joinable,assays_both_50_30_ac4_ev,roberta,12,12,144,343.216,84.71621540373562
si_si2,ChEMBL,Joinable,assays_both_50_30_ec_ev,albert,12,12,144,246.479,57.378772781878695
si_si2,ChEMBL,Joinable,assays_both_50_30_ec_ev,bart,12,12,144,231.628,61.30880789968373
si_si2,ChEMBL,Joinable,assays_both_50_30_ec_ev,bert,12,12,144,240.28,55.880356806069585
si_si2,ChEMBL,Joinable,assays_both_50_30_ec_ev,distilbert,12,12,144,251.713,60.725792104855174
si_si2,ChEMBL,Joinable,assays_both_50_30_ec_ev,minilm,12,12,144,61.394,23.782650219887493
si_si2,ChEMBL,Joinable,assays_both_50_30_ec_ev,roberta,12,12,144,334.375,82.54837508313359
si_si2,ChEMBL,Joinable,assays_both_50_50_ac2_ev,albert,12,12,144,337.298,82.06210857588053
si_si2,ChEMBL,Joinable,assays_both_50_50_ac2_ev,bart,12,12,144,303.867,83.9294268949032
si_si2,ChEMBL,Joinable,assays_both_50_50_ac2_ev,bert,12,12,144,329.195,78.77184256508946
si_si2,ChEMBL,Joinable,assays_both_50_50_ac2_ev,distilbert,12,12,144,326.432,76.66199740019442
si_si2,ChEMBL,Joinable,assays_both_50_50_ac2_ev,minilm,12,12,144,79.206,31.35822350135446
si_si2,ChEMBL,Joinable,assays_both_50_50_ac2_ev,roberta,12,12,144,485.194,121.965720379591
si_si2,ChEMBL,Joinable,assays_both_50_50_ac4_ev,albert,12,12,144,332.814,81.05336403915288
si_si2,ChEMBL,Joinable,assays_both_50_50_ac4_ev,bart,12,12,144,326.33,88.86128423169254
si_si2,ChEMBL,Joinable,assays_both_50_50_ac4_ev,bert,12,12,144,318.419,76.74496997171639
si_si2,ChEMBL,Joinable,assays_both_50_50_ac4_ev,distilbert,12,12,144,345.25,82.49049798026681
si_si2,ChEMBL,Joinable,assays_both_50_50_ac4_ev,minilm,12,12,144,78.802,31.251420856311924
si_si2,ChEMBL,Joinable,assays_both_50_50_ac4_ev,roberta,12,12,144,463.36,117.13895059250297
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,albert,12,12,144,351.281,84.90549501641092
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,bart,12,12,144,332.696,91.80488334456834
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,bert,12,12,144,341.423,82.02747506606579
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,distilbert,12,12,144,353.341,83.85764767181502
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,minilm,12,12,144,82.645,32.92763356816023
si_si2,ChEMBL,Joinable,assays_both_50_50_ec_ev,roberta,12,12,144,488.411,122.3097258146517
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,albert,12,12,144,411.603,102.03889394167066
si_si2,ChEMBL,Joinable,assays_both_50_70_ac2_ev,bart,12,12,144,414.42,117.70935882821684
