embedding_model,classifier,repeat,seed,dataset,Category,Relation,precision,recall,f1,nb_test,nb_0,nb_1,scenario
albert,RandomForest,1,42,amazon_google_exp,ChEMBL,Joinable,1.0,1.0,1.0,96,72,24,si_si
albert,RandomForest,1,42,assays_both_0_30_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,1260,1224,36,si_si
albert,RandomForest,1,42,assays_both_50_1_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,864,858,6,si_si
albert,RandomForest,1,42,assays_both_50_30_ac3_ev,ChEMBL,Joinable,1.0,0.6666666666666666,0.8,1260,1224,36,si_si
albert,RandomForest,1,42,assays_both_50_30_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,1260,1224,36,si_si
albert,RandomForest,1,42,assays_both_50_70_ac3_ev,ChEMBL,Joinable,1.0,1.0,1.0,2280,2184,96,si_si
albert,RandomForest,1,42,assays_horizontal_0_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,3174,3036,138,si_si
albert,RandomForest,1,42,assays_horizontal_50_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,3174,3036,138,si_si
albert,RandomForest,1,42,assays_vertical_30_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,1260,1224,36,si_si
albert,RandomForest,1,42,assays_vertical_50_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,1734,1668,66,si_si
albert,RandomForest,1,42,assays_vertical_70_ec_ev,ChEMBL,Joinable,1.0,1.0,1.0,2280,2184,96,si_si
albert,RandomForest,1,42,miller2_both_0_30_ac1_av,ChEMBL,Joinable,1.0,1.0,1.0,6534,6444,90,si_si
albert,RandomForest,1,42,miller2_both_0_50_ac1_av,ChEMBL,Joinable,1.0,1.0,1.0,8664,8514,150,si_si
albert,RandomForest,1,42,miller2_both_50_1_ac1_av,ChEMBL,Joinable,1.0,1.0,1.0,4056,4050,6,si_si
albert,RandomForest,1,42,miller2_both_50_1_ac4_av,ChEMBL,Joinable,1.0,1.0,1.0,4056,4050,6,si_si
albert,RandomForest,1,42,miller2_both_50_50_ac4_av,ChEMBL,Joinable,1.0,0.72,0.8372093023255814,8664,8514,150,si_si
albert,RandomForest,1,42,miller2_horizontal_100_ac1_av,ChEMBL,Joinable,1.0,1.0,1.0,15606,15300,306,si_si
albert,RandomForest,1,42,miller2_vertical_30_ac1_av,ChEMBL,Joinable,1.0,0.9333333333333332,0.9655172413793104,6534,6444,90,si_si
albert,RandomForest,1,42,prospect_both_0_1_ac2_av,ChEMBL,Joinable,0.0,0.0,0.0,792,786,6,si_si
albert,RandomForest,1,42,prospect_both_0_30_ac5_av,ChEMBL,Joinable,0.0,0.0,0.0,1176,1140,36,si_si
albert,RandomForest,1,42,prospect_both_0_50_ac2_av,ChEMBL,Joinable,1.0,0.4545454545454545,0.625,1632,1566,66,si_si
albert,RandomForest,1,42,prospect_both_0_50_ac5_av,ChEMBL,Joinable,1.0,0.0909090909090909,0.1666666666666666,1632,1566,66,si_si
albert,RandomForest,1,42,prospect_both_0_70_ac2_av,ChEMBL,Joinable,1.0,0.4666666666666667,0.6363636363636364,2052,1962,90,si_si
albert,RandomForest,1,42,prospect_both_0_70_ac5_av,ChEMBL,Joinable,1.0,0.0666666666666666,0.125,2052,1962,90,si_si
albert,RandomForest,1,42,prospect_both_50_30_ac2_av,ChEMBL,Joinable,1.0,1.0,1.0,1176,1140,36,si_si
albert,RandomForest,1,42,prospect_horizontal_0_ac2_av,ChEMBL,Joinable,1.0,0.9090909090909092,0.9523809523809524,2904,2772,132,si_si
albert,RandomForest,1,42,prospect_horizontal_50_ac5_av,ChEMBL,Joinable,0.0,0.0,0.0,2904,2772,132,si_si
albert,RandomForest,1,42,prospect_vertical_50_ac5_av,ChEMBL,Joinable,1.0,0.7272727272727273,0.8421052631578947,1632,1566,66,si_si
albert,LogisticRegression,1,42,amazon_google_exp,ChEMBL,Joinable,0.4,1.0,0.5714285714285714,96,72,24,si_si
albert,LogisticRegression,1,42,assays_both_0_30_ec_ev,ChEMBL,Joinable,0.1463414634146341,1.0,0.2553191489361702,1260,1224,36,si_si
albert,LogisticRegression,1,42,assays_both_50_1_ec_ev,ChEMBL,Joinable,0.0526315789473684,1.0,0.1,864,858,6,si_si
albert,LogisticRegression,1,42,assays_both_50_30_ac3_ev,ChEMBL,Joinable,0.2,1.0,0.3333333333333333,1260,1224,36,si_si
albert,LogisticRegression,1,42,assays_both_50_30_ec_ev,ChEMBL,Joinable,0.2142857142857142,1.0,0.3529411764705882,1260,1224,36,si_si
albert,LogisticRegression,1,42,assays_both_50_70_ac3_ev,ChEMBL,Joinable,0.2352941176470588,1.0,0.3809523809523809,2280,2184,96,si_si
albert,LogisticRegression,1,42,assays_horizontal_0_ec_ev,ChEMBL,Joinable,0.3150684931506849,1.0,0.4791666666666667,3174,3036,138,si_si
albert,LogisticRegression,1,42,assays_horizontal_50_ec_ev,ChEMBL,Joinable,0.2277227722772277,1.0,0.3709677419354839,3174,3036,138,si_si
albert,LogisticRegression,1,42,assays_vertical_30_ec_ev,ChEMBL,Joinable,0.1304347826086956,1.0,0.2307692307692307,1260,1224,36,si_si
albert,LogisticRegression,1,42,assays_vertical_50_ec_ev,ChEMBL,Joinable,0.2,1.0,0.3333333333333333,1734,1668,66,si_si
albert,LogisticRegression,1,42,assays_vertical_70_ec_ev,ChEMBL,Joinable,0.2909090909090909,1.0,0.4507042253521127,2280,2184,96,si_si
albert,LogisticRegression,1,42,miller2_both_0_30_ac1_av,ChEMBL,Joinable,0.3658536585365853,1.0,0.5357142857142857,6534,6444,90,si_si
albert,LogisticRegression,1,42,miller2_both_0_50_ac1_av,ChEMBL,Joinable,0.373134328358209,1.0,0.5434782608695652,8664,8514,150,si_si
albert,LogisticRegression,1,42,miller2_both_50_1_ac1_av,ChEMBL,Joinable,0.1,1.0,0.1818181818181818,4056,4050,6,si_si
